title,company,location,experience,category
"Senior Machine Learning Engineer, Trust & Safety",Gemini,"New York, NY, USA; Miami, FL, USA; Seattle, WA,
USA",4-6 year,2
"Senior Data Scientist, Trust & Safety",Gemini,"New York, NY, USA; Miami, FL, USA; Seattle, WA,
USA",6-8 year,2
"Senior Software Engineer, Core Services &
Resilience (Full Stack/Backend leaning)",Viam,"New York, NY, USA",8-10 year,1
"Senior/Staff Software Engineer, Data (Backend)",Viam,"New York, NY, USA",8-10 year,1
"Staff Software Engineer, Infrastructure
Engineering",Viam,"New York, NY, USA",6-8 year,4
Data In Action Mentor (Summer 2025),SureStart,"New York, NY, USA",0-2 year,3
"Principal Product Manager - Growth, Poe (Remote)","Quora, Inc.",Switzerland,6-8 year,0
"Principal Product Manager - Growth, Poe (Remote)","Quora, Inc.",Serbia,6-8 year,0
"Principal Product Manager - Growth, Poe (Remote)","Quora, Inc.",Israel,6-8 year,0
"Principal Product Manager - Growth, Poe (Remote)","Quora, Inc.",Poland,6-8 year,0
"Principal Product Manager - Growth, Poe (Remote)","Quora, Inc.",Denmark,6-8 year,0
"Principal Product Manager - Growth, Poe (Remote)","Quora, Inc.",India,6-8 year,0
"Principal Product Manager - Growth, Poe (Remote)","Quora, Inc.",United Kingdom,6-8 year,0
"Principal Product Manager - Growth, Poe (Remote)","Quora, Inc.",Germany,6-8 year,0
"Principal Product Manager - Growth, Poe (Remote)","Quora, Inc.",France,6-8 year,0
"Principal Product Manager - Growth, Poe (Remote)","Quora, Inc.",Greece,6-8 year,0
"Principal Product Manager - Growth, Poe (Remote)","Quora, Inc.",Portugal,6-8 year,0
"Principal Product Manager - Growth, Poe (Remote)","Quora, Inc.",Spain,6-8 year,0
"Principal Product Manager - Growth, Poe (Remote)","Quora, Inc.",Estonia,6-8 year,0
"Principal Product Manager - Growth, Poe (Remote)","Quora, Inc.",Ireland,6-8 year,0
